name,dist,var1,var2,bound
FGRY,Uniform,0.8,0.5,FALSE
FGRZ,Uniform,0.8,0.5,FALSE
alexcoef,Uniform,0.6,0.7,FALSE
ALPHAE,Uniform,0.2,0,FALSE
ALPHAC,Uniform,0.2,0,FALSE
CMIXLA,Uniform,1.5,1,FALSE
TTAU,Uniform,1,0,FALSE
opalcoef2,Gaussian,0.03,1,TRUE
talphacoef,Gaussian,0.15,1,TRUE
plascoef,Gaussian,0.05,1,TRUE
cocoef,Gaussian,0.2,1,TRUE
sstandard_1,Gaussian,0.0098,0.997543,TRUE
sstandard_2,Gaussian,0.0971,1.02913,TRUE
sstandard_3,Gaussian,0.0556,1.03704,TRUE
sstandard_4,Gaussian,0.3448,0.965517,TRUE
sstandard_5,Gaussian,0.2182,1.47273,TRUE
sstandard_6,Gaussian,0.0331,0.478916,TRUE
sstandard_7,Gaussian,0.0851,1.12766,TRUE
dydz,Uniform,0.75,1.75,FALSE
dyprim,Uniform,0.005,0.244,FALSE
